Date,JCI,LQ45
02/04/1984,81.59,#N/A
03/04/1984,81.03,#N/A
04/04/1984,81.09,#N/A
05/04/1984,80.7,#N/A
06/04/1984,80.27,#N/A
09/04/1984,80.42,#N/A
10/04/1984,80.36,#N/A
11/04/1984,80.44,#N/A
12/04/1984,80.5,#N/A
13/04/1984,80.34,#N/A
16/04/1984,80.37,#N/A
17/04/1984,80.33,#N/A
18/04/1984,80.23,#N/A
19/04/1984,80.34,#N/A
20/04/1984,#N/A,#N/A
23/04/1984,80.36,#N/A
24/04/1984,80.35,#N/A
25/04/1984,80.23,#N/A
26/04/1984,80.17,#N/A
27/04/1984,80.15,#N/A
30/04/1984,80.08,#N/A
01/05/1984,80.21,#N/A
02/05/1984,80.12,#N/A
03/05/1984,79.96,#N/A
04/05/1984,79.97,#N/A
07/05/1984,80.04,#N/A
08/05/1984,80.13,#N/A
09/05/1984,80.04,#N/A
10/05/1984,79.92,#N/A
11/05/1984,79.83,#N/A
14/05/1984,#N/A,#N/A
15/05/1984,79.77,#N/A
16/05/1984,79.63,#N/A
17/05/1984,79.55,#N/A
18/05/1984,79.28,#N/A
21/05/1984,79.07,#N/A
22/05/1984,78.9,#N/A
23/05/1984,78.93,#N/A
24/05/1984,79,#N/A
25/05/1984,78.99,#N/A
28/05/1984,79.17,#N/A
29/05/1984,79.36,#N/A
30/05/1984,79.59,#N/A
31/05/1984,#N/A,#N/A
01/06/1984,79.59,#N/A
04/06/1984,79.74,#N/A
05/06/1984,79.53,#N/A
06/06/1984,79.57,#N/A
07/06/1984,78.94,#N/A
08/06/1984,78.87,#N/A
11/06/1984,78.86,#N/A
12/06/1984,78.9,#N/A
13/06/1984,78.6,#N/A
14/06/1984,78.86,#N/A
15/06/1984,78.86,#N/A
18/06/1984,78.84,#N/A
19/06/1984,78.7,#N/A
20/06/1984,78.82,#N/A
21/06/1984,78.6,#N/A
22/06/1984,78.43,#N/A
25/06/1984,78.39,#N/A
26/06/1984,78.39,#N/A
27/06/1984,78.39,#N/A
28/06/1984,#N/A,#N/A
29/06/1984,#N/A,#N/A
02/07/1984,#N/A,#N/A
03/07/1984,#N/A,#N/A
04/07/1984,78.4,#N/A
05/07/1984,78.36,#N/A
06/07/1984,78.31,#N/A
09/07/1984,78.34,#N/A
10/07/1984,78.35,#N/A
11/07/1984,78.4,#N/A
12/07/1984,78.34,#N/A
13/07/1984,78.35,#N/A
16/07/1984,78.29,#N/A
17/07/1984,78.24,#N/A
18/07/1984,78.24,#N/A
19/07/1984,78.24,#N/A
20/07/1984,77.86,#N/A
23/07/1984,77.88,#N/A
24/07/1984,#N/A,#N/A
25/07/1984,77.38,#N/A
26/07/1984,77.34,#N/A
27/07/1984,77.33,#N/A
30/07/1984,77.08,#N/A
31/07/1984,77.07,#N/A
01/08/1984,77.09,#N/A
02/08/1984,76.98,#N/A
03/08/1984,77.09,#N/A
06/08/1984,77,#N/A
07/08/1984,76.95,#N/A
08/08/1984,76.94,#N/A
09/08/1984,76.71,#N/A
10/08/1984,76.42,#N/A
13/08/1984,76.55,#N/A
14/08/1984,76.55,#N/A
15/08/1984,76.51,#N/A
16/08/1984,76.22,#N/A
17/08/1984,#N/A,#N/A
20/08/1984,76.22,#N/A
21/08/1984,76.1,#N/A
22/08/1984,76.05,#N/A
23/08/1984,75.93,#N/A
24/08/1984,75.93,#N/A
27/08/1984,75.84,#N/A
28/08/1984,75.68,#N/A
29/08/1984,75.55,#N/A
30/08/1984,75.55,#N/A
31/08/1984,75.48,#N/A
03/09/1984,75.48,#N/A
04/09/1984,75.48,#N/A
05/09/1984,75.49,#N/A
06/09/1984,#N/A,#N/A
07/09/1984,75.33,#N/A
10/09/1984,#N/A,#N/A
11/09/1984,75.28,#N/A
12/09/1984,75.37,#N/A
13/09/1984,75.32,#N/A
14/09/1984,75.2,#N/A
17/09/1984,75.23,#N/A
18/09/1984,75.23,#N/A
19/09/1984,74.8,#N/A
20/09/1984,74.37,#N/A
21/09/1984,74.2,#N/A
24/09/1984,74.03,#N/A
25/09/1984,74.1,#N/A
26/09/1984,#N/A,#N/A
27/09/1984,74.1,#N/A
28/09/1984,74.1,#N/A
01/10/1984,73.9,#N/A
02/10/1984,73.85,#N/A
03/10/1984,73.63,#N/A
04/10/1984,73.33,#N/A
05/10/1984,73.26,#N/A
08/10/1984,73.25,#N/A
09/10/1984,73.3,#N/A
10/10/1984,73.33,#N/A
11/10/1984,73.33,#N/A
12/10/1984,73.3,#N/A
15/10/1984,73.09,#N/A
16/10/1984,73.1,#N/A
17/10/1984,73.1,#N/A
18/10/1984,73.11,#N/A
19/10/1984,72.63,#N/A
22/10/1984,#N/A,#N/A
23/10/1984,72.03,#N/A
24/10/1984,71.94,#N/A
25/10/1984,71.97,#N/A
26/10/1984,71.97,#N/A
29/10/1984,72.05,#N/A
30/10/1984,72.02,#N/A
31/10/1984,72.02,#N/A
01/11/1984,72.02,#N/A
02/11/1984,71.7,#N/A
05/11/1984,71.62,#N/A
06/11/1984,71.63,#N/A
07/11/1984,71.02,#N/A
08/11/1984,71.15,#N/A
09/11/1984,71.16,#N/A
12/11/1984,71.11,#N/A
13/11/1984,71.1,#N/A
14/11/1984,70.94,#N/A
15/11/1984,70.94,#N/A
16/11/1984,70.78,#N/A
19/11/1984,70.93,#N/A
20/11/1984,69.71,#N/A
21/11/1984,70.03,#N/A
22/11/1984,69.82,#N/A
23/11/1984,69.93,#N/A
26/11/1984,70.21,#N/A
27/11/1984,70.35,#N/A
28/11/1984,70.41,#N/A
29/11/1984,70.52,#N/A
30/11/1984,71.02,#N/A
03/12/1984,71.08,#N/A
04/12/1984,71.16,#N/A
05/12/1984,#N/A,#N/A
06/12/1984,71.11,#N/A
07/12/1984,71.26,#N/A
10/12/1984,71.37,#N/A
11/12/1984,71.2,#N/A
12/12/1984,69.84,#N/A
13/12/1984,69.54,#N/A
14/12/1984,69.23,#N/A
17/12/1984,68.87,#N/A
18/12/1984,68.83,#N/A
19/12/1984,68.82,#N/A
20/12/1984,68.82,#N/A
21/12/1984,68.38,#N/A
24/12/1984,68.11,#N/A
25/12/1984,#N/A,#N/A
26/12/1984,68.08,#N/A
27/12/1984,67.81,#N/A
28/12/1984,67.68,#N/A
31/12/1984,#N/A,#N/A
01/01/1985,#N/A,#N/A
02/01/1985,67.82,#N/A
03/01/1985,67.82,#N/A
04/01/1985,69.09,#N/A
07/01/1985,68.23,#N/A
08/01/1985,68.43,#N/A
09/01/1985,68.44,#N/A
10/01/1985,68.81,#N/A
11/01/1985,69.07,#N/A
14/01/1985,69.86,#N/A
15/01/1985,#N/A,#N/A
16/01/1985,70.09,#N/A
17/01/1985,70.25,#N/A
18/01/1985,70.25,#N/A
21/01/1985,70.24,#N/A
22/01/1985,70.73,#N/A
23/01/1985,70.9,#N/A
24/01/1985,71.05,#N/A
25/01/1985,71.2,#N/A
28/01/1985,71.3,#N/A
29/01/1985,71.5,#N/A
30/01/1985,71.61,#N/A
31/01/1985,71.87,#N/A
01/02/1985,72.19,#N/A
04/02/1985,72.19,#N/A
05/02/1985,71.16,#N/A
06/02/1985,71.24,#N/A
07/02/1985,71.22,#N/A
08/02/1985,71.36,#N/A
11/02/1985,71.41,#N/A
12/02/1985,71.39,#N/A
13/02/1985,71.44,#N/A
14/02/1985,71.32,#N/A
15/02/1985,71.11,#N/A
18/02/1985,71.14,#N/A
19/02/1985,71.19,#N/A
20/02/1985,71.19,#N/A
21/02/1985,71.3,#N/A
22/02/1985,71.59,#N/A
25/02/1985,71.83,#N/A
